nama_lengkap;nisn;sekolah_kodlan;rombel
Aditya Pratama;1234567890;20100523;1A
Budi Santoso;2345678901;20100523;1B
Citra Wijaya;3456789012;20100523;2A
Dewi Saputra;4567890123;20100523;2B
Eko Hidayat;5678901234;20100523;3A
Fajar Nugroho;6789012345;20100523;3B
Gita Kusuma;7890123456;20100523;4A
Hendra Lestari;8901234567;20100523;4B
Indah Wulandari;9012345678;20100523;5A
Joko Yuliani;0123456789;20100523;5B
Kartika Setiawan;1122334455;20100523;6A
Lestari Kurniawan;2233445566;20100523;6B
Muhammad Sari;3344556677;20100523;1A
Nur Putra;4455667788;20100523;1B
Putri Ramadhan;5566778899;20100523;2A
Rizky Firmansyah;6677889900;20100523;2B
Siti Susanti;7788990011;20100523;3A
Tio Handayani;8899001122;20100523;3B
Utami Mulyani;9900112233;20100523;4A
Wahyu Utomo;1011121314;20100523;4B
Ahmad Azizah;1213141516;20100523;5A
Aisyah Baskoro;1314151617;20100523;5B
Bagus Chandra;1415161718;20100523;6A
Bayu Damayanti;1516171819;20100523;6B
Cahaya Fauzan;1617181920;20100523;1A
Dinda Gunawan;1718192021;20100523;1B
Gilang Hakim;1819202122;20100523;2A
Hana Irawan;1920212223;20100523;2B
Ilham Jannah;2021222324;20100523;3A
Intan Khasanah;2122232425;20100523;3B
Kevin Lubis;2223242526;20100523;4A
Kiki Mahardika;2324252627;20100523;4B
Lina Nasution;2425262728;20100523;5A
Maulana Oktaviani;2526272829;20100523;5B
Nadia Pangestu;2627282930;20100523;6A
Rina Rahayu;2728293031;20100523;6B
Satria Siregar;2829303132;20100523;1A
Tiara Tanjung;2930313233;20100523;1B
Yusuf Utama;3031323334;20100523;2A
Zahra Wibowo;3132333435;20100523;2B
Aditya Santoso;3233343536;20100523;3A
Budi Wijaya;3334353637;20100523;3B
Citra Saputra;3435363738;20100523;4A
Dewi Hidayat;3536373839;20100523;4B
Eko Nugroho;3637383940;20100523;5A
Fajar Kusuma;3738394041;20100523;5B
Gita Lestari;3839404142;20100523;6A
Hendra Wulandari;3940414243;20100523;6B
Indah Yuliani;4041424344;20100523;1A
Joko Setiawan;4142434445;20100523;1B
Kartika Kurniawan;4243444546;20100532;1A
Lestari Sari;4344454647;20100532;1B
Muhammad Putra;4445464748;20100532;2A
Nur Ramadhan;4546474849;20100532;2B
Putri Firmansyah;4647484950;20100532;3A
Rizky Susanti;4748495051;20100532;3B
Siti Handayani;4849505152;20100532;4A
Tio Mulyani;4950515253;20100532;4B
Utami Utomo;5051525354;20100532;5A
Wahyu Azizah;5152535455;20100532;5B
Ahmad Baskoro;5253545556;20100532;6A
Aisyah Chandra;5354555657;20100532;6B
Bagus Damayanti;5455565758;20100532;1A
Bayu Fauzan;5556575859;20100532;1B
Cahaya Gunawan;5657585960;20100532;2A
Dinda Hakim;5758596061;20100532;2B
Gilang Irawan;5859606162;20100532;3A
Hana Jannah;5960616263;20100532;3B
Ilham Khasanah;6061626364;20100532;4A
Intan Lubis;6162636465;20100532;4B
Kevin Mahardika;6263646566;20100532;5A
Kiki Nasution;6364656667;20100532;5B
Lina Oktaviani;6465666768;20100532;6A
Maulana Pangestu;6566676869;20100532;6B
Nadia Rahayu;6667686970;20100532;1A
Rina Siregar;6768697071;20100532;1B
Satria Tanjung;6869707172;20100532;2A
Tiara Utama;6970717273;20100532;2B
Yusuf Wibowo;7071727374;20100532;3A
Zahra Pratama;7172737475;20100532;3B
Aditya Wijaya;7273747576;20100532;4A
Budi Saputra;7374757677;20100532;4B
Citra Hidayat;7475767778;20100532;5A
Dewi Nugroho;7576777879;20100532;5B
Eko Kusuma;7677787980;20100532;6A
Fajar Lestari;7778798081;20100532;6B
Gita Wulandari;7879808182;20100532;1A
Hendra Yuliani;7980818283;20100532;1B
Indah Setiawan;8081828384;20100532;2A
Joko Kurniawan;8182838485;20100532;2B
Kartika Sari;8283848586;20100579;1A
Lestari Putra;8384858687;20100579;1B
Muhammad Ramadhan;8485868788;20100579;2A
Nur Firmansyah;8586878889;20100579;2B
Putri Susanti;8687888990;20100579;3A
Rizky Handayani;8788899091;20100579;3B
Siti Mulyani;8889909192;20100579;4A
Tio Utomo;8990919293;20100579;4B
Utami Azizah;9091929394;20100579;5A
Wahyu Baskoro;9192939495;20100579;5B
Ahmad Chandra;9293949596;20100579;6A
Aisyah Damayanti;9394959697;20100579;6B
Bagus Fauzan;9495969798;20100579;1A
Bayu Gunawan;9596979899;20100579;1B
Cahaya Hakim;9697989900;20100579;2A
Dinda Irawan;9798990001;20100579;2B
Gilang Jannah;9899000102;20100579;3A
Hana Khasanah;9900010203;20100579;3B
Ilham Lubis;0001020304;20100579;4A
Intan Mahardika;0102030405;20100579;4B
Kevin Nasution;0203040506;20100579;5A
Kiki Oktaviani;0304050607;20100579;5B
Lina Pangestu;0405060708;20100579;6A
Maulana Rahayu;0506070809;20100579;6B
Nadia Siregar;0607080910;20100579;1A
Rina Tanjung;0708091011;20100579;1B
Satria Utama;0809101112;20100579;2A
Tiara Wibowo;0910111213;20100579;2B
Yusuf Pratama;1011121314;20100579;3A
Zahra Santoso;1112131415;20100579;3B
Aditya Wijaya;1213141516;20100579;4A
Budi Saputra;1314151617;20100579;4B
Citra Hidayat;1415161718;20100579;5A
Dewi Nugroho;1516171819;20100579;5B
Eko Kusuma;1617181920;20100579;6A
Fajar Lestari;1718192021;20100579;6B
Gita Wulandari;1819202122;20100579;1A
Hendra Yuliani;1920212223;20100579;1B
Indah Setiawan;2021222324;20100579;2A
Joko Kurniawan;2122232425;20100579;2B
